2026-02-01 14:50:28,216 | INFO | User:17 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2191s
2026-02-01 14:50:43,659 | INFO | User:17 | Endpoint: allocation_matching | Method: GET | Status: 200 | Duration: 14.9672s
2026-02-03 02:53:42,288 | INFO | User:17 | Endpoint: login | Method: GET | Status: 200 | Duration: 1.6749s
2026-02-03 02:53:43,262 | INFO | User:17 | Endpoint: None | Method: GET | Status: 404 | Duration: 0.2406s
2026-02-03 02:53:54,451 | INFO | User:264 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.3873s
2026-02-03 02:53:54,855 | INFO | User:264 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2333s
2026-02-03 02:53:56,049 | INFO | User:264 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 0.7337s
2026-02-03 02:54:04,929 | INFO | User:264 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.5488s
2026-02-03 02:54:48,077 | INFO | User:264 | Endpoint: add_candidate_manual | Method: POST | Status: 302 | Duration: 0.4245s
2026-02-03 02:54:48,886 | INFO | User:264 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.6331s
2026-02-03 09:31:04,624 | INFO | User:264 | Endpoint: candidate_profile | Method: GET | Status: 200 | Duration: 14.9945s
2026-02-03 09:31:06,928 | INFO | User:264 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 3.8149s
2026-02-03 09:31:35,866 | INFO | User:264 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 23.2188s
2026-02-03 09:31:46,870 | INFO | User:264 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.4429s
2026-02-03 09:31:47,106 | INFO | User:264 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 14.2506s
2026-02-03 09:32:11,785 | INFO | User:264 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 37.3502s
2026-02-03 09:32:51,190 | INFO | User:264 | Endpoint: login | Method: GET | Status: 200 | Duration: 1.1277s
2026-02-03 09:33:02,038 | INFO | User:264 | Endpoint: login | Method: POST | Status: 302 | Duration: 2.0846s
2026-02-03 09:33:05,254 | INFO | User:264 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 2.4138s
